City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
24,sentyabrskiy,1.7959,73.3876,26.79,76,100,2.24,MV,"Dec 05, 2022, Mon, 17:00"
25,cabo san lucas,69.444,-133.0319,-26.0,64,75,10.29,CA,"Dec 05, 2022, Mon, 17:00"
26,hithadhoo,-41.1334,-71.3098,14.31,62,40,12.86,AR,"Dec 05, 2022, Mon, 17:00"
27,tuktoyaktuk,-33.8582,121.8932,16.0,81,100,2.21,AU,"Dec 05, 2022, Mon, 17:00"
28,san carlos de bariloche,37.7172,-25.4335,17.33,81,67,5.69,PT,"Dec 05, 2022, Mon, 17:00"
29,esperance,42.6512,-73.755,6.51,47,75,5.66,US,"Dec 05, 2022, Mon, 17:00"
30,novyy urgal,-37.8247,140.782,14.0,60,24,3.44,AU,"Dec 05, 2022, Mon, 17:00"
31,vila franca do campo,-33.929,18.4174,17.16,70,0,6.17,ZA,"Dec 05, 2022, Mon, 17:00"
32,albany,13.2129,-59.5227,25.46,85,40,2.57,BB,"Dec 05, 2022, Mon, 17:00"
33,mount gambier,45.803,10.0671,7.88,58,58,2.22,IT,"Dec 05, 2022, Mon, 17:00"
